repository_language,type,active_repos_by_url,events,year,quarter
Ceylon,PushEvent,50,556,2014,4
UnrealScript,PushEvent,37,292,2014,4
Elm,IssuesEvent,24,124,2014,4
F#,ForkEvent,220,660,2014,4
Mathematica,IssuesEvent,32,121,2014,4
Kotlin,WatchEvent,76,667,2014,4
Pascal,WatchEvent,319,783,2014,4
Factor,IssuesEvent,2,92,2014,4
Forth,PushEvent,75,637,2014,4
FORTRAN,ForkEvent,210,363,2014,4
Rebol,PushEvent,76,382,2014,4
TeX,IssuesEvent,723,4369,2014,4
TypeScript,WatchEvent,698,4846,2014,4
VCL,PushEvent,84,485,2014,4
Prolog,WatchEvent,229,831,2014,4
Gosu,PushEvent,136,1116,2014,4
XSLT,IssuesEvent,230,1566,2014,4
Pascal,ForkEvent,238,452,2014,4
Verilog,IssuesEvent,27,71,2014,4
BlitzBasic,PushEvent,273,3332,2014,4
Frege,PushEvent,36,469,2014,4
SQL,WatchEvent,41,176,2014,4
Factor,PushEvent,25,738,2014,4
Pure Data,WatchEvent,68,113,2014,4
Elixir,IssuesEvent,142,730,2014,4
XSLT,WatchEvent,392,1616,2014,4
C#,CreateEvent,40,41,2014,4
Elm,WatchEvent,96,390,2014,4
LabVIEW,PushEvent,214,1406,2014,4
NetLogo,ForkEvent,7,9,2014,4
Max,WatchEvent,100,213,2014,4
D,ForkEvent,342,690,2014,4
Gosu,WatchEvent,72,335,2014,4
AutoHotkey,ForkEvent,115,176,2014,4
Gnuplot,PushEvent,105,1437,2014,4
Nimrod,PushEvent,178,1073,2014,4
Bison,PushEvent,126,786,2014,4
XQuery,PushEvent,176,1886,2014,4
Red,WatchEvent,9,82,2014,4
Processing,IssuesEvent,84,277,2014,4
LiveScript,ForkEvent,53,115,2014,4
LSL,IssuesEvent,3,27,2014,4
HaXe,WatchEvent,66,83,2014,4
Makefile,IssuesEvent,167,722,2014,4
Puppet,IssuesEvent,398,1138,2014,4
Perl,CreateEvent,30,101,2014,4
SAS,PushEvent,110,878,2014,4
C++,CreateEvent,149,151,2014,4
nesC,WatchEvent,33,139,2014,4
M,ForkEvent,36,55,2014,4
Red,PushEvent,18,213,2014,4
Arc,PushEvent,18,216,2014,4
Crystal,PushEvent,32,470,2014,4
Fantom,PushEvent,9,270,2014,4
Gnuplot,WatchEvent,13,39,2014,4
wisp,PushEvent,1,2,2014,4
Zephir,PushEvent,15,224,2014,4
Vala,PushEvent,302,3695,2014,4
Objective-C++,ForkEvent,128,452,2014,4
Io,PushEvent,88,345,2014,4
Puppet,ForkEvent,1114,2393,2014,4
Nix,ForkEvent,24,183,2014,4
Nix,WatchEvent,39,299,2014,4
Perl6,ForkEvent,40,68,2014,4
Crystal,WatchEvent,16,366,2014,4
Cuda,IssuesEvent,28,107,2014,4
Verilog,ForkEvent,168,293,2014,4
Inform 7,PushEvent,73,995,2014,4
ActionScript,IssuesEvent,177,1455,2014,4
FORTRAN,IssuesEvent,89,368,2014,4
Component Pascal,PushEvent,37,521,2014,4
AspectJ,PushEvent,79,415,2014,4
Lasso,WatchEvent,13,19,2014,4
IDL,WatchEvent,78,744,2014,4
Thrift,PushEvent,13,59,2014,4
Bison,ForkEvent,7,186,2014,4
IDL,ForkEvent,80,233,2014,4
AspectJ,IssuesEvent,5,42,2014,4
Hack,PushEvent,57,569,2014,4
LookML,PushEvent,22,281,2014,4
Mercury,IssuesEvent,14,62,2014,4
AppleScript,WatchEvent,270,815,2014,4
Prolog,ForkEvent,141,260,2014,4
SourcePawn,ForkEvent,69,163,2014,4
Pan,PushEvent,25,195,2014,4
wisp,WatchEvent,5,103,2014,4
ABAP,IssuesEvent,3,63,2014,4
Pan,ForkEvent,7,15,2014,4
ANTLR,PushEvent,60,242,2014,4
OpenSCAD,ForkEvent,61,107,2014,4
Scheme,ForkEvent,379,937,2014,4
SQF,ForkEvent,115,396,2014,4
RobotFramework,PushEvent,14,66,2014,4
Oz,PushEvent,15,179,2014,4
Racket,WatchEvent,256,809,2014,4
Mathematica,WatchEvent,60,131,2014,4
Processing,ForkEvent,319,981,2014,4
Delphi,WatchEvent,49,68,2014,4
ASP,WatchEvent,143,214,2014,4
BlitzBasic,IssuesEvent,18,36,2014,4
BlitzBasic,ForkEvent,77,175,2014,4
PHP,CreateEvent,154,155,2014,4
Dart,IssuesEvent,245,1137,2014,4
AGS Script,IssuesEvent,41,196,2014,4
