repository_language,type,active_repos_by_url,events
Gosu,ForkEvent,40,91
Prolog,CreateEvent,18,27
Gosu,IssuesEvent,16,48
OpenEdge ABL,WatchEvent,46,88
Clean,WatchEvent,14,42
Coq,CreateEvent,46,129
Clean,PushEvent,10,171
Processing,IssuesEvent,72,401
Lasso,IssuesEvent,10,139
OpenEdge ABL,IssuesEvent,11,63
SuperCollider,CreateEvent,28,39
Io,ForkEvent,26,80
Prolog,ForkEvent,74,133
Dylan,CreateEvent,33,104
Ceylon,CreateEvent,16,30
Max,IssuesEvent,16,461
Ada,IssuesEvent,12,101
Awk,ForkEvent,15,38
Smalltalk,ForkEvent,32,44
Augeas,ForkEvent,4,15
Oxygene,IssuesEvent,4,14
Crystal,CreateEvent,10,30
Elm,WatchEvent,34,85
AppleScript,IssuesEvent,38,97
HaXe,IssuesEvent,20,58
Xtend,CreateEvent,25,38
Smalltalk,IssuesEvent,20,90
AppleScript,CreateEvent,140,190
PogoScript,PushEvent,12,47
Nemerle,ForkEvent,24,49
XQuery,WatchEvent,47,85
Eiffel,ForkEvent,36,82
Perl6,CreateEvent,19,43
Slash,IssuesEvent,5,23
Turing,IssuesEvent,3,6
Factor,IssuesEvent,1,50
CLIPS,CreateEvent,17,23
ooc,ForkEvent,27,29
ooc,WatchEvent,31,36
ooc,PushEvent,32,294
Agda,WatchEvent,33,114
wisp,PushEvent,6,89
AutoIt,IssuesEvent,16,75
Max,ForkEvent,34,59
Max,WatchEvent,46,125
Scilab,CreateEvent,37,79
Bro,CreateEvent,4,13
Eiffel,CreateEvent,45,119
Eiffel,IssuesEvent,4,128
XProc,PushEvent,20,198
Prolog,IssuesEvent,19,37
Nemerle,CreateEvent,30,51
DOT,ForkEvent,47,99
Standard ML,CreateEvent,83,135
Perl6,WatchEvent,31,50
Io,IssuesEvent,1,125
HaXe,CreateEvent,15,39
Ceylon,IssuesEvent,8,92
Ecl,CreateEvent,7,9
DCPU-16 ASM,PushEvent,8,98
Arc,WatchEvent,29,112
Turing,CreateEvent,3,4
Gosu,CreateEvent,44,102
XQuery,IssuesEvent,20,164
Ecl,IssuesEvent,1,1
Ceylon,ForkEvent,23,32
XML,IssuesEvent,14,103
Oxygene,PushEvent,17,59
KRL,CreateEvent,21,21
Squirrel,CreateEvent,21,40
Bro,ForkEvent,13,16
Augeas,IssuesEvent,1,32
XQuery,CreateEvent,33,59
NetLogo,WatchEvent,21,32
Agda,IssuesEvent,4,27
Augeas,WatchEvent,3,9
Mirah,PushEvent,9,32
Mirah,CreateEvent,3,5
Mirah,WatchEvent,24,81
XC,CreateEvent,34,65
Crystal,WatchEvent,15,89
Fantom,PushEvent,10,38
Nemerle,IssuesEvent,8,34
Ragel in Ruby Host,WatchEvent,27,48
ANTLR,CreateEvent,19,25
XC,ForkEvent,18,28
Turing,PushEvent,11,119
Nu,WatchEvent,27,37
COBOL,CreateEvent,9,12
