repository_language,type,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Emacs Lisp,MemberEvent,25,37,1524684,491,221,1913
Haskell,MemberEvent,159,204,254509,501,251,1928
Delphi,IssuesEvent,11,21,547409,229,100,440
Haskell,PullRequestReviewCommentEvent,57,339,1559829,9766,9466,53919
Ceylon,PullRequestEvent,4,22,92935,391,331,564
Nimrod,ForkEvent,32,77,10040822,2256,6856,13928
HaXe,PushEvent,49,275,1533009,691,426,4590
HaXe,PullRequestEvent,10,30,19599,266,110,732
Groovy,MemberEvent,128,229,1998337,81,146,92
Crystal,IssueCommentEvent,2,159,2688291,4860,2163,95096
Clojure,TeamAddEvent,70,85,77632,152,153,810
Ada,IssuesEvent,10,101,3428820,284,315,259
NetLogo,CreateEvent,33,69,191428,49,484,168
Lasso,CreateEvent,13,224,3279996,20792,2562,15119
Parrot,IssuesEvent,1,19,1648038,640,456,1637
Parrot,IssueCommentEvent,1,35,2976476,1151,953,2949
NetLogo,IssuesEvent,5,52,122441,70,272,280
NetLogo,DeleteEvent,6,24,96109,27,189,94
Visual Basic,ReleaseEvent,76,182,1203148,524,360,10714
Crystal,PullRequestEvent,1,49,826103,1483,672,29524
AppleScript,CreateEvent,136,190,180146,29,52,249
F#,PullRequestReviewCommentEvent,13,347,5739257,10536,9273,29251
VimL,PublicEvent,42,88,233827,0,1,15
Gosu,IssueCommentEvent,12,58,5154,63,105,71
Gosu,TeamAddEvent,14,17,3580,0,0,0
Rebol,PushEvent,13,69,132563,58,300,129
M,IssuesEvent,8,37,529883,390,75,3882
DOT,PullRequestEvent,18,123,2121342,379,264,508
VimL,TeamAddEvent,6,8,1305,7,1,65
Ada,MemberEvent,4,6,298556,0,1,0
Scheme,PullRequestReviewCommentEvent,11,61,326834,256,181,1071
Pascal,IssuesEvent,73,498,20261688,2731,3086,5528
D,TeamAddEvent,11,12,66093,3,26,9
Nemerle,IssuesEvent,8,34,3979874,1345,286,4097
ColdFusion,ReleaseEvent,13,28,471742,393,471,1240
ASP,WatchEvent,108,220,4232741,1634,205,3140
LiveScript,CommitCommentEvent,16,37,454239,51,175,172
Idris,WatchEvent,27,181,34903,139,17,2029
TypeScript,ReleaseEvent,92,223,4625706,3528,1129,8641
Squirrel,IssueCommentEvent,6,44,39283,280,68,804
Haskell,GollumEvent,176,738,5041756,23456,14595,131990
Coq,PullRequestReviewCommentEvent,2,25,312170,929,570,3514
Kotlin,IssuesEvent,12,110,441050,185,386,1507
Ceylon,ForkEvent,22,32,49711,206,339,336
Ceylon,CreateEvent,10,30,84031,167,103,251
OpenEdge ABL,IssueCommentEvent,10,87,2204306,2221,199,623
Arc,WatchEvent,24,112,4691424,3703,215,21527
Haxe,PullRequestReviewCommentEvent,9,317,6250247,22675,15646,83851
VHDL,PullRequestReviewCommentEvent,5,34,571395,352,173,662
FORTRAN,PublicEvent,17,18,115957,0,3,1
Pure Data,WatchEvent,56,142,594004,2592,59,5323
TypeScript,MemberEvent,91,149,5151596,186,188,213
Standard ML,WatchEvent,54,223,6197940,2242,844,8103
NetLogo,IssueCommentEvent,5,69,339261,164,1227,641
Ecl,CreateEvent,3,9,38124,0,0,9
HaXe,ForkEvent,56,85,271504,539,193,1965
Dylan,PullRequestReviewCommentEvent,5,96,4521249,1515,878,6555
Haxe,GollumEvent,46,287,3348208,5185,3034,31594
FORTRAN,ReleaseEvent,21,46,2451524,115,93,99
Slash,WatchEvent,11,46,1278161,674,508,652
Pascal,ReleaseEvent,34,72,700091,54,70,255
Erlang,MemberEvent,58,80,385790,38,13,116
Pascal,GollumEvent,69,249,1719466,915,238,2023
Groovy,PublicEvent,47,48,110332,0,115,19
Nu,ForkEvent,24,30,48541,66,2,372
KRL,CreateEvent,16,21,0,0,0,0
KRL,GollumEvent,3,4,2419,1,0,1
Io,IssueCommentEvent,3,279,43918313,16943,16679,156217
IDL,GollumEvent,33,136,19378785,7229,17792,38036
XML,IssueCommentEvent,14,231,3778704,1622,6827,4433
nesC,TeamAddEvent,5,7,1454298,4,4,1
DOT,MemberEvent,11,13,50322,1,0,2
COBOL,ForkEvent,6,17,2194405,88,8,223
COBOL,PullRequestEvent,2,22,3667803,138,21,122
F#,PublicEvent,14,15,20148,0,9,0
Assembly,PublicEvent,33,33,1917574,0,5,4
Prolog,CreateEvent,18,27,26933,31,5,28
OpenEdge ABL,PullRequestEvent,13,95,2226583,2348,278,553
Eiffel,GollumEvent,9,35,375187,260,1219,281
Io,DeleteEvent,3,10,1013296,211,286,1365
Io,CreateEvent,14,37,2365969,676,1002,5107
XML,ForkEvent,48,79,767391,938,85,1996
IDL,ForkEvent,50,173,10184103,4143,3661,10602
Smalltalk,PullRequestReviewCommentEvent,2,71,2691573,599,1021,203
Smalltalk,IssueCommentEvent,15,208,4279680,1290,2251,1838
Coq,CreateEvent,41,129,364166,44,42,25
Coq,PullRequestEvent,8,113,1011655,3180,836,11793
Augeas,ForkEvent,3,15,116254,767,135,1154
XC,ForkEvent,18,28,144381,194,40,181
XC,WatchEvent,20,43,221797,265,67,287
DOT,GollumEvent,9,79,896433,205,276,201
wisp,WatchEvent,6,30,37218,10,56,44
wisp,ForkEvent,6,7,3902,8,37,10
AutoIt,PullRequestEvent,12,111,225528,240,173,157
Processing,CommitCommentEvent,20,93,285315,439,84,1484
Augeas,TeamAddEvent,1,1,623,0,0,0
Augeas,PushEvent,8,127,873563,2766,522,4512
Ragel in Ruby Host,WatchEvent,7,48,249224,988,153,3818
Visual Basic,PullRequestReviewCommentEvent,5,22,52230,19,36,14
Perl6,WatchEvent,30,50,364770,2202,147,7413
Monkey,PushEvent,21,127,685953,24,45,166
Monkey,IssuesEvent,2,5,156,0,5,10
Factor,CreateEvent,2,31,2363690,0,0,29
Factor,PullRequestEvent,1,37,3655959,2736,7885,10891
Dylan,DeleteEvent,10,68,3533824,379,478,1728
Standard ML,IssueCommentEvent,16,171,4559008,2412,1953,6147
Processing,IssuesEvent,67,401,7049661,3369,1538,11460
TypeScript,PublicEvent,51,55,210983,2,20,2
Agda,ForkEvent,30,45,95708,157,43,748
Awk,IssueCommentEvent,6,57,1426623,534,240,3627
Lua,PublicEvent,51,55,712085,0,18,5
Eiffel,ForkEvent,36,82,3055043,793,359,595
Parrot,CreateEvent,4,16,1094632,361,255,931
Pascal,PullRequestEvent,36,283,16978755,3338,1098,7502
XSLT,PullRequestReviewCommentEvent,22,217,3486645,6063,4251,17467
Gosu,ForkEvent,39,91,83045,1121,123,1965
Rust,MemberEvent,29,57,408042,252,63,610
Logos,ReleaseEvent,31,52,84552,19,1,42
XSLT,ReleaseEvent,23,112,1157495,90,466,970
Objective-J,ForkEvent,38,72,2106550,5353,2611,32789
Crystal,WatchEvent,6,89,1225095,1961,739,39907
Gosu,PullRequestEvent,5,47,82057,91,60,152
Gosu,CreateEvent,42,102,87160,12,25,28
Gosu,ReleaseEvent,14,24,16270,10,4,12
M,IssueCommentEvent,6,69,1844999,872,135,9129
wisp,IssuesEvent,1,33,11569,8,124,14
Objective-J,CreateEvent,17,64,2315666,16,56,100
Objective-J,PullRequestEvent,8,99,5764429,18905,3954,114921
Delphi,PushEvent,24,109,516071,5,65,137
REALbasic,GollumEvent,3,285,123097,87,0,174
Julia,MemberEvent,31,52,124786,128,164,172
M,CreateEvent,89,159,3216283,111,38,1021
M,ReleaseEvent,6,11,16914,42,21,415
Racket,GollumEvent,28,100,2365502,2110,1333,9120
OCaml,PullRequestReviewCommentEvent,23,278,8825097,8628,5957,20053
nesC,DeleteEvent,24,390,55692135,1184,4275,1185
Delphi,ForkEvent,48,66,2366548,636,125,1084
ASP,PullRequestEvent,32,202,2893330,572,138,432
RobotFramework,PushEvent,5,50,408960,28,181,29
XProc,PullRequestEvent,5,26,341518,31,83,53
XProc,IssueCommentEvent,4,34,225995,38,127,117
Idris,IssuesEvent,4,7,872,4,6,50
ASP,MemberEvent,120,210,4079336,23,8,19
AutoIt,IssuesEvent,16,75,188564,229,211,338
Io,IssuesEvent,1,125,18881396,7790,7131,71899
DOT,IssueCommentEvent,17,153,5127685,593,494,1682
Delphi,WatchEvent,68,97,695114,1166,468,3563
Augeas,WatchEvent,3,9,70915,487,84,752
Assembly,MemberEvent,75,100,591703,26,44,31
Ada,GollumEvent,9,70,712135,206,569,214
ASP,GollumEvent,46,201,13310566,17,5,20
Slash,GollumEvent,4,48,1886764,2,0,0
XQuery,CreateEvent,31,59,498941,90,114,286
F#,TeamAddEvent,15,18,18732,59,39,221
DCPU-16 ASM,PushEvent,8,98,35564,47,52,129
Apex,ReleaseEvent,3,32,327031,130,3952,66
Eiffel,PullRequestReviewCommentEvent,6,59,524064,492,57,501
BlitzBasic,GollumEvent,6,28,106186,84,7,59
Ragel in Ruby Host,PushEvent,9,62,105340,18,12,40
ABAP,GollumEvent,2,130,109732,92,0,221
Arc,CreateEvent,4,10,15400,0,0,0
XML,TeamAddEvent,2,3,1523,9,1,1
Erlang,ReleaseEvent,36,86,197425,2254,530,7230
Ragel in Ruby Host,ForkEvent,5,19,172771,823,91,3558
Vala,PullRequestEvent,24,169,757342,2602,2328,20293
Pure Data,CreateEvent,59,74,57079,162,14,304
PowerShell,PublicEvent,7,7,1418,0,0,0
Slash,DeleteEvent,5,23,582229,90,284,263
Slash,PullRequestEvent,5,33,1507590,259,456,725
Pure Data,IssuesEvent,6,22,12162,75,52,291
Pure Data,IssueCommentEvent,6,40,56523,674,140,2066
ABAP,WatchEvent,14,40,21458,86,1,149
Oxygene,WatchEvent,27,63,1377307,1802,296,4892
Slash,IssueCommentEvent,5,30,1074330,199,355,537
Rebol,PullRequestEvent,2,4,1356,10,1,14
Max,DeleteEvent,13,39,1319364,70,4948,208
M,ForkEvent,39,81,802254,956,209,6356
VHDL,PullRequestEvent,17,114,2088459,1181,456,2164
Puppet,MemberEvent,69,87,479135,150,23,110
COBOL,WatchEvent,6,45,1073256,125,32,1968
AppleScript,MemberEvent,7,9,1703,4,0,18
Rust,PublicEvent,21,38,40600,0,5,1
Turing,IssuesEvent,3,6,5436,21,16,33
Dart,ReleaseEvent,22,56,85812,400,352,2684
Pascal,MemberEvent,29,35,1260632,8,77,9
Turing,PullRequestEvent,1,1,408,2,0,3
UnrealScript,MemberEvent,8,20,3348024,2,0,3
Parrot,WatchEvent,12,37,1238218,372,319,1104
Xtend,CommitCommentEvent,2,26,449259,33,439,154
Apex,TeamAddEvent,6,6,38185,10,6,18
DM,GollumEvent,6,52,14373636,6116,3007,1837
Bro,PushEvent,15,92,195671,15,1,89
PowerShell,TeamAddEvent,17,18,123852,9,0,1
Bro,DeleteEvent,1,3,23380,0,0,0
ABAP,PushEvent,6,25,5052,11,1,14
Groovy,TeamAddEvent,53,70,193819,106,55,139
Elixir,MemberEvent,9,10,3526,3,7,10
Pike,CreateEvent,4,45,2588,4,2,9
TeX,TeamAddEvent,51,57,343645,38,94,49
KRL,WatchEvent,16,29,132251,27,0,41
XML,PullRequestEvent,12,157,606075,1439,659,1266
Max,GollumEvent,9,28,3576509,182,2170,490
Elixir,TeamAddEvent,10,10,5005,3,1,7
XML,CreateEvent,18,61,519921,247,381,472
XML,DeleteEvent,7,19,306363,60,343,196
Puppet,PublicEvent,62,75,163474,0,17,6
LiveScript,ReleaseEvent,9,17,7597,3,10,13
PowerShell,ReleaseEvent,33,68,480493,113,17,176
CLIPS,ForkEvent,2,7,1615,26,0,6
CLIPS,PullRequestEvent,1,16,2766,60,14,10
FORTRAN,PullRequestReviewCommentEvent,6,94,1378100,3122,861,2496
Bro,CreateEvent,4,13,59276,0,0,0
Turing,WatchEvent,13,24,509032,57,37,133
Coq,ForkEvent,35,50,153007,351,281,1389
Kotlin,PullRequestEvent,8,18,380804,106,42,341
Kotlin,DeleteEvent,9,22,759576,103,26,219
IDL,PullRequestEvent,26,108,10774991,3822,8191,18757
AppleScript,PullRequestEvent,19,48,29676,113,35,400
AppleScript,IssueCommentEvent,23,81,513680,523,152,3009
MoonScript,CreateEvent,22,35,91040,10,3,62
Max,MemberEvent,13,30,188315,2,10,2
IDL,ReleaseEvent,19,26,72711,2,4,7
Bro,WatchEvent,9,16,16911,24,2,170
LiveScript,ForkEvent,45,174,6456160,12748,3418,27833
Coq,IssuesEvent,11,55,262482,733,297,2682
Self,WatchEvent,8,76,7952455,851,531,6693
NetLogo,GollumEvent,4,5,1276,0,0,3
Turing,ForkEvent,14,18,284729,42,27,91
XML,IssuesEvent,14,103,1755886,607,2566,1675
Oxygene,ForkEvent,28,57,1068384,1189,185,2846
Prolog,PullRequestEvent,5,6,55107,27,4,28
Coq,DeleteEvent,8,74,294844,42,6,19
AutoHotkey,DeleteEvent,18,53,419372,41,90,100
ooc,PushEvent,28,294,2876550,244,140,917
Io,ForkEvent,26,80,7889777,3364,3772,30135
Ada,IssueCommentEvent,10,81,1367643,271,242,310
Lasso,GollumEvent,3,105,169151,402,35,512
Io,PullRequestEvent,3,19,1999216,708,816,6389
Standard ML,ForkEvent,33,104,4016073,1220,173,2914
Monkey,WatchEvent,23,46,122376,51,54,218
Factor,WatchEvent,21,56,3222958,2033,6374,8130
Lasso,CommitCommentEvent,4,46,887923,13017,1502,9599
Common Lisp,MemberEvent,26,36,727628,87,112,505
ActionScript,PublicEvent,57,57,1172674,0,11,18
Smalltalk,CommitCommentEvent,2,8,238788,0,0,0
Scheme,CommitCommentEvent,16,62,283902,69,75,295
OCaml,ReleaseEvent,75,166,1260869,898,529,5115
ASP,CommitCommentEvent,8,35,2010498,76,19,15
Awk,IssuesEvent,10,36,1383604,270,133,2103
Pascal,PublicEvent,4,4,36252,1,0,1
AppleScript,IssuesEvent,38,97,464571,347,161,1795
F#,MemberEvent,13,18,235124,14,9,71
SuperCollider,PublicEvent,2,2,244437,0,0,0
IDL,DeleteEvent,23,60,7274828,2704,5072,14026
TXL,ForkEvent,2,2,1432,2,0,3
TXL,WatchEvent,2,4,2864,2,0,5
xBase,ForkEvent,21,25,1584252,37,2,45
xBase,WatchEvent,20,37,3363695,34,2,74
Arduino,PublicEvent,57,58,124631,0,2,7
OCaml,PublicEvent,31,35,72919,1,2,4
SuperCollider,WatchEvent,27,52,358949,121,135,599
OCaml,TeamAddEvent,6,7,87600,4,7,12
Xtend,MemberEvent,5,8,2220,0,0,3
IDL,TeamAddEvent,10,12,54321,3,15,11
VHDL,TeamAddEvent,5,5,1637785,17,4,12
KRL,CommitCommentEvent,1,1,312,1,0,2
ColdFusion,PullRequestReviewCommentEvent,7,22,1389355,1152,1728,2042
nesC,PullRequestReviewCommentEvent,4,118,14250856,3858,625,1906
Monkey,CreateEvent,5,6,347,1,1,7
M,PublicEvent,5,5,6255,0,3,0
eC,PushEvent,4,19,267683,5,75,8
TypeScript,TeamAddEvent,20,33,1812551,251,269,422
Apex,PublicEvent,10,12,21260,0,1,1
Kotlin,ForkEvent,18,45,372936,370,203,1505
Logos,GollumEvent,13,16,349496,96,5,58
Matlab,CommitCommentEvent,41,201,6179254,3076,1513,6547
NetLogo,WatchEvent,20,32,226903,35,179,129
Haxe,ReleaseEvent,9,17,595054,755,865,2991
ASP,ReleaseEvent,24,33,935561,10,4,16
COBOL,MemberEvent,4,10,129608,3,0,4
VHDL,GollumEvent,39,240,2219408,70,642,356
HaXe,CreateEvent,14,39,351572,61,27,307
Logos,DeleteEvent,12,39,323607,745,43,486
VimL,ReleaseEvent,38,76,153579,125,136,1845
ColdFusion,CommitCommentEvent,10,61,2629408,951,3239,1819
Eiffel,PublicEvent,3,14,661187,0,0,6
Crystal,CreateEvent,5,30,350018,64,28,1228
Logos,MemberEvent,7,14,415987,0,1,6
Perl6,IssueCommentEvent,4,37,858309,5498,195,18376
Smalltalk,ReleaseEvent,8,8,64794,0,0,40
Racket,PullRequestReviewCommentEvent,2,204,33745865,32083,6674,108901
OpenEdge ABL,WatchEvent,43,88,3338620,720,86,1990
Logtalk,WatchEvent,7,21,151371,15,30,187
RobotFramework,WatchEvent,4,6,23375,3,0,6
Tcl,ForkEvent,73,136,1609533,876,689,2312
Rebol,IssueCommentEvent,4,37,13569,91,581,257
Nu,WatchEvent,26,37,81143,66,2,494
Prolog,GollumEvent,9,11,226153,2,1,0
Kotlin,GollumEvent,5,37,177094,39,5,562
IDL,MemberEvent,20,28,81825,10,55,15
Slash,MemberEvent,3,4,184256,0,0,0
FORTRAN,MemberEvent,43,64,778452,11,8,33
ASP,DeleteEvent,31,63,1637521,555,102,639
Processing,ReleaseEvent,22,36,204073,43,23,139
AutoHotkey,GollumEvent,27,198,329038,16,917,274
Clean,DeleteEvent,2,2,689781,4,0,34
Awk,DeleteEvent,6,9,9628,2,0,10
Crystal,IssuesEvent,2,46,736836,1312,483,26449
Bluespec,WatchEvent,2,4,24540,18,39,13
SuperCollider,IssuesEvent,4,31,19333,55,465,167
UnrealScript,CreateEvent,48,86,3975096,2,1,4
Smalltalk,MemberEvent,7,13,5676,1,0,11
Ecl,PullRequestEvent,4,26,314445,350,15,399
Nemerle,ForkEvent,24,49,890755,783,776,1818
ooc,IssuesEvent,3,28,15955,51,31,213
Delphi,IssueCommentEvent,8,22,423411,363,160,773
Ceylon,DeleteEvent,2,8,27622,21,50,33
Tcl,MemberEvent,9,9,4872,2,0,3
UnrealScript,DeleteEvent,6,14,158484,1,1,3
Elixir,GollumEvent,12,33,607022,4956,482,35903
Ada,ForkEvent,40,53,1614425,142,48,506
Arc,ForkEvent,27,50,2320183,1174,144,6723
Glyph,CreateEvent,5,8,1531709,4,0,8
Perl6,ForkEvent,26,37,239128,1552,122,5122
Perl6,PullRequestEvent,10,58,1126814,7517,442,24995
Glyph,ReleaseEvent,1,1,509678,1,0,3
J,WatchEvent,16,29,60124,17,0,47
Awk,GollumEvent,2,2,3660,0,0,0
Agda,PullRequestEvent,4,14,57362,80,33,424
MoonScript,DeleteEvent,2,4,17226,1,0,7
Scheme,PublicEvent,23,25,22505,0,6,6
Apex,GollumEvent,11,104,101337,36,1278,105
AutoIt,GollumEvent,12,17,55432,22,9,25
HaXe,CommitCommentEvent,1,5,1235,20,0,140
Eiffel,MemberEvent,3,6,21452,2,0,8
Perl6,CreateEvent,14,43,560701,2993,201,10028
ASP,IssuesEvent,40,232,32794347,394,1653,489
Logtalk,GollumEvent,1,9,144531,11,36,210
Smalltalk,IssuesEvent,19,90,653969,215,304,508
CLIPS,MemberEvent,4,5,176,0,0,0
DOT,CommitCommentEvent,3,4,50776,1,0,4
Brightscript,GollumEvent,2,4,4424,14,11,69
Ecl,WatchEvent,1,2,55496,3,1,2
Nimrod,DeleteEvent,7,56,12863708,61,228,396
Ceylon,WatchEvent,22,36,58579,161,275,362
RobotFramework,ForkEvent,3,3,8307,3,0,3
KRL,ForkEvent,19,34,74610,40,0,38
ooc,ForkEvent,26,29,281586,99,12,316
ooc,WatchEvent,30,36,313156,99,15,359
Pike,WatchEvent,20,20,38065,24,1,56
Pike,ForkEvent,19,21,41348,33,3,63
Clean,ForkEvent,11,15,842204,21,1,66
Clean,WatchEvent,11,42,2133429,104,1,752
DCPU-16 ASM,ForkEvent,24,29,27663,151,156,953
DCPU-16 ASM,WatchEvent,25,38,34248,207,208,1427
J,PushEvent,13,92,40828,11,0,15
Brightscript,PullRequestEvent,7,69,376851,325,885,1027
Logos,PublicEvent,37,38,204861,0,10,1
Verilog,CommitCommentEvent,11,41,29893,24,9,39
BlitzBasic,CommitCommentEvent,12,63,3320534,611,148,437
BlitzBasic,MemberEvent,5,12,63877,2,0,1
Visual Basic,TeamAddEvent,5,5,36372,3,2,1
XQuery,DeleteEvent,5,8,87967,10,39,45
Standard ML,PublicEvent,12,12,9667,0,1,0
VHDL,PublicEvent,14,14,176589,0,7,0
OpenEdge ABL,PublicEvent,7,7,364914,1,0,0
DM,MemberEvent,12,27,6236119,45,156,21
nesC,PublicEvent,4,4,72024,0,2,2
VHDL,CommitCommentEvent,7,100,2435709,0,9,0
F#,ReleaseEvent,11,29,269236,420,283,802
Oxygene,IssuesEvent,4,14,38419,588,45,1782
Visual Basic,CommitCommentEvent,25,68,1547049,257,367,395
Scilab,IssuesEvent,4,15,56583,0,34,13
Factor,GollumEvent,1,54,304636,64,0,128
ASP,PublicEvent,19,19,805471,0,1,3
PowerShell,MemberEvent,37,75,219536,250,53,459
Augeas,IssueCommentEvent,2,90,846590,4978,656,8163
Visual Basic,PublicEvent,18,18,241679,0,27,7
Ada,DeleteEvent,11,24,375343,18,28,3
Standard ML,GollumEvent,13,20,280186,10,65,38
ooc,IssueCommentEvent,4,41,19759,89,52,274
D,MemberEvent,42,59,255082,16,7,27
Verilog,MemberEvent,40,53,27833,8,19,2
Augeas,PullRequestEvent,3,38,323894,2047,308,3261
AutoIt,DeleteEvent,11,30,68469,43,11,14
ANTLR,GollumEvent,4,12,351468,1,29,19
Ada,PullRequestEvent,5,17,214015,70,26,107
REALbasic,PullRequestEvent,1,38,626808,357,39,399
REALbasic,PullRequestReviewCommentEvent,1,21,371580,365,74,396
XML,PullRequestReviewCommentEvent,3,17,20856,192,15,32
Ragel in Ruby Host,CreateEvent,6,10,20458,2,0,2
REALbasic,IssueCommentEvent,1,11,192198,190,71,211
REALbasic,CommitCommentEvent,1,11,166378,0,0,0
IDL,CommitCommentEvent,7,137,29876284,11690,24252,60925
nesC,CommitCommentEvent,9,33,11179317,606,241,399
Bro,ForkEvent,12,16,48585,37,2,110
Factor,DeleteEvent,1,17,1293441,2,0,17
LiveScript,GollumEvent,11,85,317640,584,543,11278
Logos,CommitCommentEvent,4,7,50829,4,0,0
Scilab,CreateEvent,37,79,811541,17,68,16
SuperCollider,CreateEvent,27,39,86524,12,38,30
SuperCollider,ReleaseEvent,2,2,26923,2,7,6
wisp,PullRequestEvent,1,2,1318,2,37,0
Apex,PullRequestReviewCommentEvent,1,45,464942,190,5082,101
Pure Data,ForkEvent,47,79,354185,1713,48,3120
Scheme,ReleaseEvent,20,44,152648,77,22,329
Nimrod,CommitCommentEvent,3,44,13274440,290,949,1824
Nimrod,PullRequestReviewCommentEvent,2,2,331704,85,244,553
Dart,PublicEvent,17,17,6509,0,0,2
AppleScript,ReleaseEvent,15,18,12253,5,1,72
XQuery,GollumEvent,5,41,259825,193,419,197
Haxe,MemberEvent,22,40,263003,3,5,15
wisp,CreateEvent,1,5,3705,2,26,4
wisp,IssueCommentEvent,1,19,9697,11,100,18
ColdFusion,GollumEvent,22,86,910337,2600,650,7775
Julia,PublicEvent,8,9,2012,0,0,0
nesC,MemberEvent,10,22,2139423,0,168,9
Vala,PullRequestReviewCommentEvent,2,49,394584,106,208,556
Mirah,CreateEvent,2,5,197929,168,165,1928
Rust,ReleaseEvent,7,10,112848,16,5,115
Xtend,ForkEvent,27,48,251515,170,181,423
UnrealScript,WatchEvent,9,9,72053,3,0,11
Parrot,ForkEvent,12,14,424474,131,107,413
Elm,IssuesEvent,10,34,127769,941,186,1234
UnrealScript,PullRequestEvent,2,21,5774,26,10,0
Crystal,GollumEvent,1,6,101984,183,85,3630
Crystal,DeleteEvent,1,21,282640,99,51,1871
M,PullRequestEvent,8,30,592887,155,38,1019
Boo,WatchEvent,19,39,154091,129,91,476
Pike,PullRequestEvent,1,3,6555,6,4,12
Pike,IssueCommentEvent,1,2,4370,4,2,8
COBOL,CreateEvent,9,12,179907,13,1,12
SuperCollider,GollumEvent,10,38,70862,24,275,86
Self,ForkEvent,7,16,2780015,145,86,1101
UnrealScript,ReleaseEvent,6,7,1512,0,1,2
Emacs Lisp,PublicEvent,27,38,91111,0,6,3
Squirrel,CreateEvent,21,40,25930,60,26,194
Elm,MemberEvent,4,4,804,1,0,1
Parrot,PullRequestEvent,1,8,691818,262,60,670
Parrot,DeleteEvent,1,2,160295,33,0,84
Assembly,ReleaseEvent,19,33,1158570,22,42,33
ColdFusion,PublicEvent,5,5,63904,0,0,2
REALbasic,ForkEvent,15,21,398817,154,93,223
REALbasic,WatchEvent,14,39,765437,168,116,310
DM,TeamAddEvent,4,7,660278,17,1,4
Gosu,IssuesEvent,15,48,24537,68,65,118
ABAP,ForkEvent,12,16,8195,52,0,76
Max,PullRequestEvent,8,32,1397768,45,23,130
ANTLR,ForkEvent,11,13,6088,24,6,44
ANTLR,WatchEvent,11,33,25815,16,6,67
Self,CreateEvent,3,16,693044,111,78,960
Dylan,WatchEvent,27,62,2523896,757,1449,3152
Opa,PushEvent,4,10,14118,3,0,7
Haxe,TeamAddEvent,7,8,35908,12,0,26
XProc,IssuesEvent,1,6,12948,5,14,29
Self,PushEvent,4,33,1033540,214,142,1885
Self,PullRequestEvent,1,12,614433,227,135,1991
SuperCollider,PullRequestEvent,3,4,15367,4,3,6
Rebol,GollumEvent,3,3,106831,2,0,3
AppleScript,DeleteEvent,8,22,189657,14,37,48
Prolog,IssuesEvent,19,37,83816,23,46,82
Fantom,PushEvent,10,38,163252,4,0,48
LiveScript,MemberEvent,5,8,2597,0,1,0
DOT,PublicEvent,6,6,68164,0,0,0
NetLogo,MemberEvent,7,10,208,0,2,2
Delphi,PullRequestEvent,6,6,99191,101,41,298
Assembly,TeamAddEvent,4,6,94091,8,0,8
Racket,MemberEvent,18,35,5947,126,38,84
Scilab,GollumEvent,3,3,163,0,0,0
Dylan,IssuesEvent,5,39,2065828,689,1152,2911
ASP,IssueCommentEvent,23,112,14818294,405,799,549
Pascal,PullRequestReviewCommentEvent,5,32,2420021,765,58,1314
Squirrel,WatchEvent,26,44,31676,101,15,342
Haskell,TeamAddEvent,62,73,162321,103,130,264
Elm,DeleteEvent,11,17,32121,154,22,204
CLIPS,WatchEvent,23,32,25485,12,2,49
Standard ML,CommitCommentEvent,9,23,184620,23,147,75
Nimrod,MemberEvent,2,2,331398,76,243,464
Smalltalk,GollumEvent,8,31,207321,24,114,101
Mirah,IssuesEvent,1,12,606981,672,578,7777
Mirah,IssueCommentEvent,1,40,2046270,2250,2298,26149
COBOL,DeleteEvent,1,4,521990,11,1,11
Ecl,ForkEvent,3,5,2159,49,15,19
BlitzBasic,PublicEvent,3,3,108652,0,0,2
Elm,ReleaseEvent,3,7,2649,7,8,27
XSLT,PublicEvent,11,13,234819,0,13,4
XML,PublicEvent,3,3,17900,0,0,2
Opa,ForkEvent,11,12,1491158,49,13,158
Omgrofl,PushEvent,3,19,240,0,0,0
OpenEdge ABL,IssuesEvent,11,63,338151,279,188,213
eC,ForkEvent,8,8,28541,17,5,21
eC,WatchEvent,8,22,46042,15,5,36
DM,ReleaseEvent,2,4,776014,812,696,244
Augeas,PullRequestReviewCommentEvent,1,17,166332,978,138,1593
OpenEdge ABL,GollumEvent,13,37,1239457,0,5,8
SuperCollider,MemberEvent,7,9,5744,0,1,1
XQuery,PublicEvent,1,1,0,0,0,0
AppleScript,GollumEvent,11,25,9072,0,2,2
UnrealScript,ForkEvent,7,9,64716,9,0,1
Scilab,ForkEvent,26,35,1837141,352,55,384
Monkey,ForkEvent,24,30,104408,49,36,142
Elixir,ReleaseEvent,21,33,184371,1441,142,10587
Scilab,DeleteEvent,5,14,80921,4,7,2
Scilab,IssueCommentEvent,1,1,0,0,1,0
Vala,CommitCommentEvent,8,40,226237,222,359,907
DCPU-16 ASM,GollumEvent,1,7,15026,15,71,43
DCPU-16 ASM,IssuesEvent,1,1,2228,2,11,6
Standard ML,DeleteEvent,12,27,923795,36,26,209
Standard ML,PullRequestReviewCommentEvent,1,1,0,0,1,0
Common Lisp,PullRequestReviewCommentEvent,10,55,69123,562,229,3057
xBase,MemberEvent,2,5,115088,0,0,0
Ceylon,PullRequestReviewCommentEvent,1,19,115616,450,163,659
AutoIt,TeamAddEvent,2,6,0,4,15,0
Objective-J,DeleteEvent,6,12,386682,2,15,33
PogoScript,IssuesEvent,2,8,1342,9,12,3
